威嚴 嚴肅、莊嚴。
威嚴 敬稱他人的尊嚴。
威嚴 使人敬畏的莊嚴氣勢。
授權 上級長官或握有權力的人，委授部屬一定的責任和事權，使在其監督下，得做擔當自主的處理和行動。
選課 選擇所欲修讀的課程。
燕麥 植物名。禾本科燕麥屬，二年生草本。葉細長，莖短硬，高約一公尺餘，花穗狀多矗立，果實繁密，可食，{[915d]}可織帽，北方多有種植。
考察 考核、視察。
歌 唱。按樂曲或節拍來發聲。
歌 頌揚。
歌 合樂的曲調。
歌 一種詩歌體裁。屬於能唱的韻文。如長恨歌、子夜歌等。
擺明 表現得清楚。
幫手 助手、助理。
稱號 稱呼、名號。
預防針 為預防疾病發生所注射的疫苗針劑。如霍亂預防針、傷寒預防針。
不想 不去思慮。
不想 想不到、出乎意料。
車隊 因同一目的而聚集成的汽、機車團隊。
麥 二一四部首之一。
麥 姓。如隋代有麥鐵杖。
麥 <1>之讀音。
麥 禾本科植物的通稱。一年生或二年生草本植物。夏月開花結實，種子可用來磨麵粉，製糖或釀酒。種類甚多，有黑麥、燕麥、小麥、大麥等。
給予 給。
合理 合乎道理、事理。
地 陸地。
地 用於副詞語尾。
地 置於「立」、「坐」、「臥」等動詞之後。相當於「著」。
地 場所。
地 心意、意志的領域。
地 路程。
地 田地、土地。
地 本質、質地、底子。
地 區域。
地 地位、位置。
地 人類萬物棲息生長的場所。有時直接指地球。如：「大地」、「天地」、「地心」。易經．繫辭下:「仰則觀象於天，俯則觀法於地。」
歲 一年的穀物收成。
歲 量詞：(1) 計算時間的單位。一歲等於一年。如：「數歲之間」。(2) 計算年齡的單位。如：「孔子活了七十三歲。」
歲 年。
在 決定、依靠。
在 居所、處所。
在 姓。如晉代有在育。
在 觀察。
項目 事物分類的條目。
此 如此、這樣。
此 斯、乃、則。
此 這個。與「彼」相對。
麻 知覺喪失或變得遲鈍。
麻 桑科草本植物的統稱。一年生草本，其莖部的韌皮纖維長而堅韌，可供紡織用。其果實可為飼料或榨油用。種類甚多，有大麻、黃麻、業麻、苧麻等，我國古來即有種植，但文獻上稱「麻」，則多指大麻而言。
麻 姓。如春秋時齊國有麻嬰，明代有麻三衡。
麻 二一四部首之一。
正 
正 長官、主事者。
正 表示動作在進行的狀態。
正 不偏斜。
正 與「反」相對。
正 與「負」相對。
正 恰巧、剛好。
正 與「偏」相對。
正 修改錯誤。
正 合於規範的、合於法則的。
正 精純不雜的。
正 整理。
正 與「副」相對。
正 姓。如春秋時魯國有正常。
正 分析、明辨。
上限 最大的限度。
聯 連接、接續。
聯 量詞。計算票券等分聯的單位。
聯 姓。如晉代有聯謙。
聯 詩文中每兩句成對者稱為「聯」。
聯 結、結合。
事 工作、職務。
事 侍奉。
事 做、為。
事 變故。
事 插入。
參考 參證有關材料來幫助研究和了解。
二 介於一和三之間的自然數。如：「一、二、三……。」大寫作「貳」，阿拉伯數字作「2」。
二 二一四部首之一。
二 次序排第二的。
二 改變。
二 並比。
二 不專一的、兩樣的。
乾脆 爽快、簡捷。
聽 任由、任憑。
聽 耳聞的事情。
聽 廳堂。
聽 姓。如唐代有聽姓。
聽 等候、等待。
火車 泛指行駛於鐵路上的列車。因最初是藉火力產生蒸氣以牽引車廂，故稱為「火車」。目前多已電氣化。
火車 一種古代攻戰的器具。
衣服 泛指可以穿著的各種衣裳、服裝。
聲 
聲 量詞。計算發聲次數的單位。
聲 言語。
聲 音信、音訊。
聲 宣布、張揚。
聲 音樂。
聲 名譽。
聲 聲調，漢字字音的高低長短。如中古音有平聲、上聲、去聲、入聲四個聲調。
聲 因物體撞擊或摩擦所產生，能引起聽覺的音波。
棒 棒球比賽中依序上場的打擊者，或接力賽跑輪番上陣的選手。
